Ticker,Date,open,high,low,close,volume
MKTX,2020-01-02,380.26,381.04,376.96,380.25,226158.0
MKTX,2020-01-03,377.94,381.26,377.46,380.05,192860.0
MKTX,2020-01-06,379.7,379.7,366.86,374.08,329027.0
MKTX,2020-01-07,372.54,378.82,370.49,375.25,178586.0
MKTX,2020-01-08,375.06,376.38,363.68,364.3,383098.0
MKTX,2020-01-09,366.43,377.24,366.43,371.7,414297.0
MKTX,2020-01-10,371.7,372.42,362.45,363.07,238530.0
MKTX,2020-01-13,361.79,370.55,361.43,368.6,256419.0
MKTX,2020-01-14,369.69,370.65,364.61,366.61,203545.0
MKTX,2020-01-15,365.75,371.48,363.77,368.1,208223.0
MKTX,2020-01-16,368.91,374.65,368.23,370.01,259103.0
MKTX,2020-01-17,370.45,376.78,368.25,369.06,269994.0
MKTX,2020-01-21,368.28,373.61,368.28,370.69,278548.0
MKTX,2020-01-22,373.05,374.79,369.51,370.4,173783.0
MKTX,2020-01-23,369.57,370.43,364.88,367.28,274489.0
MKTX,2020-01-24,366.84,369.44,357.16,359.27,245773.0
MKTX,2020-01-27,355.08,363.09,350.65,357.86,212674.0
MKTX,2020-01-28,360.24,362.69,356.35,359.87,284826.0
MKTX,2020-01-29,362.17,364.02,346.61,352.04,516891.0
MKTX,2020-01-30,350.03,360.53,350.0,358.16,245876.0
MKTX,2020-01-31,356.43,359.83,353.23,354.18,257022.0
MKTX,2020-02-03,359.85,359.85,352.93,355.5,217967.0
MKTX,2020-02-04,357.96,366.1,354.28,355.0,323797.0
MKTX,2020-02-05,355.9,362.0,335.91,341.85,415289.0
MKTX,2020-02-06,342.71,345.87,339.63,345.67,271590.0
MKTX,2020-02-07,345.34,349.09,342.75,344.29,210921.0
MKTX,2020-02-10,342.01,342.5,334.58,341.25,270059.0
MKTX,2020-02-11,340.77,346.27,340.0,342.28,170137.0
MKTX,2020-02-12,342.56,344.23,333.13,335.5,277901.0
MKTX,2020-02-13,332.62,340.69,332.46,338.15,264000.0
MKTX,2020-02-14,339.0,346.26,338.74,345.69,288569.0
MKTX,2020-02-18,346.07,350.91,343.19,347.18,289461.0
MKTX,2020-02-19,348.16,349.08,341.43,341.68,265730.0
MKTX,2020-02-20,341.45,347.87,336.11,344.6,336470.0
MKTX,2020-02-21,342.83,346.49,337.4,340.09,342268.0
MKTX,2020-02-24,333.43,346.02,332.22,341.91,286261.0
MKTX,2020-02-25,342.74,345.86,328.63,331.2,283707.0
MKTX,2020-02-26,332.07,342.12,330.66,338.28,307910.0
MKTX,2020-02-27,332.66,341.52,332.19,333.34,408440.0
MKTX,2020-02-28,329.67,336.67,314.01,324.33,532896.0
MKTX,2020-03-02,324.92,349.93,321.3,348.62,386230.0
MKTX,2020-03-03,346.9,365.82,337.97,351.58,478842.0
MKTX,2020-03-04,356.17,375.43,351.16,373.56,431045.0
MKTX,2020-03-05,367.4,388.73,366.62,377.53,489075.0
MKTX,2020-03-06,368.91,372.89,348.52,362.36,401794.0
MKTX,2020-03-09,342.85,366.15,342.85,352.31,407627.0
MKTX,2020-03-10,356.31,367.3,345.69,357.16,399886.0
MKTX,2020-03-11,356.17,357.87,329.34,333.65,333478.0
MKTX,2020-03-12,318.67,334.15,307.32,314.73,498329.0
MKTX,2020-03-13,320.59,346.61,318.0,343.07,560678.0
MKTX,2020-03-16,317.35,333.02,286.97,311.29,446711.0
MKTX,2020-03-17,318.04,352.71,317.91,333.0,482615.0
MKTX,2020-03-18,300.0,321.87,290.13,305.36,493175.0
MKTX,2020-03-19,303.56,323.29,288.01,316.13,334732.0
MKTX,2020-03-20,310.61,326.11,298.73,310.63,441833.0
MKTX,2020-03-23,309.91,310.0,275.5,281.31,535178.0
MKTX,2020-03-24,293.79,334.52,283.01,326.72,543437.0
MKTX,2020-03-25,323.57,349.95,323.57,330.31,366779.0
MKTX,2020-03-26,339.14,354.96,331.59,352.79,328783.0
MKTX,2020-03-27,342.7,354.56,332.27,342.78,291117.0
MKTX,2020-03-30,353.62,354.56,335.57,351.32,245808.0
MKTX,2020-03-31,347.14,349.6,328.03,332.57,526439.0
MKTX,2020-04-01,320.41,338.66,316.15,333.99,270837.0
MKTX,2020-04-02,325.04,348.06,324.09,347.29,283182.0
MKTX,2020-04-03,343.35,389.14,343.35,387.27,452401.0
MKTX,2020-04-06,394.18,402.97,382.19,399.03,399604.0
MKTX,2020-04-07,400.55,404.27,376.78,381.5,365669.0
MKTX,2020-04-08,388.04,397.3,378.02,395.62,262414.0
MKTX,2020-04-09,399.3,405.29,397.49,403.35,221133.0
MKTX,2020-04-13,400.0,402.01,380.28,385.79,234843.0
MKTX,2020-04-14,397.74,404.43,391.74,397.71,323265.0
MKTX,2020-04-15,396.3,417.29,393.99,413.2,328001.0
MKTX,2020-04-16,419.51,439.22,417.04,436.5,387200.0
MKTX,2020-04-17,447.51,449.94,427.62,429.78,271771.0
MKTX,2020-04-20,428.73,435.29,425.02,430.57,256971.0
MKTX,2020-04-21,430.76,431.9,407.97,410.49,230561.0
MKTX,2020-04-22,417.21,431.26,410.76,424.24,210449.0
MKTX,2020-04-23,424.12,426.31,415.56,417.78,186626.0
MKTX,2020-04-24,421.28,424.69,416.04,421.02,241900.0
MKTX,2020-04-27,431.21,443.51,425.02,441.59,187703.0
MKTX,2020-04-28,443.23,452.78,433.0,441.43,268273.0
MKTX,2020-04-29,441.12,463.57,436.87,456.71,357243.0
MKTX,2020-04-30,450.39,465.9,450.39,455.01,404196.0
MKTX,2020-05-01,451.23,460.0,446.45,449.79,271683.0
MKTX,2020-05-04,450.21,459.88,447.01,457.07,238568.0
MKTX,2020-05-05,450.02,488.22,450.0,483.26,284917.0
MKTX,2020-05-06,491.92,491.92,470.66,471.35,291094.0
MKTX,2020-05-07,483.53,491.25,477.7,480.75,304585.0
MKTX,2020-05-08,482.0,490.81,475.84,484.32,298482.0
MKTX,2020-05-11,486.45,517.93,486.45,505.05,336641.0
MKTX,2020-05-12,514.13,516.96,497.37,497.73,301550.0
MKTX,2020-05-13,496.44,512.43,493.16,504.74,334002.0
MKTX,2020-05-14,499.95,505.73,483.57,493.6,382658.0
MKTX,2020-05-15,497.54,503.16,486.61,488.05,735729.0
MKTX,2020-05-18,500.99,500.99,490.32,492.66,317714.0
MKTX,2020-05-19,491.0,497.75,475.02,478.56,265769.0
MKTX,2020-05-20,480.52,486.9,473.59,477.93,296057.0
MKTX,2020-05-21,475.7,476.51,469.12,472.93,404322.0
MKTX,2020-05-22,472.54,484.99,466.86,482.32,196529.0
MKTX,2020-05-26,480.3,487.67,467.55,470.51,312721.0
MKTX,2020-05-27,467.15,478.06,453.06,468.26,335207.0
MKTX,2020-05-28,475.57,494.52,474.48,483.51,307487.0
MKTX,2020-05-29,489.0,511.95,485.5,508.59,581482.0
MKTX,2020-06-01,508.58,526.98,504.09,519.78,418908.0
MKTX,2020-06-02,521.96,525.26,510.22,515.96,248812.0
MKTX,2020-06-03,518.49,521.11,509.85,521.11,193910.0
MKTX,2020-06-04,511.8,520.88,490.11,499.04,236915.0
MKTX,2020-06-05,494.74,503.93,487.85,493.9,307896.0
MKTX,2020-06-08,487.08,491.38,478.04,488.37,266356.0
MKTX,2020-06-09,497.42,506.86,488.23,499.93,240393.0
MKTX,2020-06-10,497.74,510.73,494.45,506.99,235650.0
MKTX,2020-06-11,509.07,509.07,481.5,482.06,243732.0
MKTX,2020-06-12,486.56,496.72,482.58,492.79,187675.0
MKTX,2020-06-15,488.33,502.28,485.9,501.13,165800.0
MKTX,2020-06-16,504.6,506.57,490.56,498.99,146890.0
MKTX,2020-06-17,503.0,515.84,501.84,508.99,190710.0
MKTX,2020-06-18,503.97,506.82,497.5,500.86,183227.0
MKTX,2020-06-19,511.31,523.09,501.39,520.28,461100.0
MKTX,2020-06-22,521.71,524.98,512.85,519.07,224966.0
MKTX,2020-06-23,522.23,527.13,517.18,519.52,176350.0
MKTX,2020-06-24,519.15,522.47,503.42,505.19,215716.0
MKTX,2020-06-25,505.51,513.52,497.15,507.36,233211.0
MKTX,2020-06-26,505.6,510.0,485.04,489.83,534400.0
